,College Name,Location,Accreditation,CD Rank,Courses,B.sc Fees,Review,Rating,URL
1252,"Lachoo Memorial College Science and Technology, Jodhpur"," Jodhpur, Rajasthan","AICTE, UGC Approved",#1253,B.Sc,"₹ 51,175",97,3,/college/9622-lachoo-memorial-college-science-and-technology-jodhpur
1253,"DY Patil Deemed-to-be University, School of  Biotechnology and Bioinformatics, Navi Mumbai"," Navi Mumbai, Maharashtra","AICTE, UGC Approved",#1254,B.Sc,"₹ 1,25,000",14,3,/college/13377-dy-patil-deemedtobe-university-school-of-biotechnology-and-bioinformatics-navi-mumbai
1254,"KR Mangalam University, School of Engineering and Technology, Gurgaon"," Gurgaon, Haryana",AICTE Approved,#1255,B.Sc,"₹ 1,03,000",32,3,/college/13942-kr-mangalam-university-school-of-engineering-and-technology-gurgaon
1255,"Mahatma Gandhi University, School of Technology and Applied Sciences - [STAS], Kottayam"," Kottayam, Kerala",AICTE Approved,#1256,B.Sc,"₹ 20,000",10,3,/college/14980-mahatma-gandhi-university-school-of-technology-and-applied-sciences-stas-kottayam
1256,"ACN Institute for Higher Education - [ACNIHE], Aligarh"," Aligarh, Uttar Pradesh",AICTE Approved,#1257,B.Sc,--,Null,Null,/college/16370-acn-institute-for-higher-education-acnihe-aligarh
1257,"Dr Ram Manohar Lohia Institution of Bioscience and Technology, Aurangabad"," Aurangabad, Maharashtra",AICTE Approved,#1258,B.Sc,"₹ 23,885",Null,Null,/college/16534-dr-ram-manohar-lohia-institution-of-bioscience-and-technology-aurangabad
1258,"NS Institute of Management and Technology, Sonepat"," Sonepat, Haryana",Null,#1259,B.Sc,--,Null,Null,/college/16730-ns-institute-of-management-and-technology-sonepat
1259,"Vidya Pratishthan's School of Biotechnology - [VSBT] Baramati, Pune"," Pune, Maharashtra",BCI Approved,#1260,B.Sc,--,1,3,/college/17009-vidya-pratishthans-school-of-biotechnology-vsbt-baramati-pune
1260,"AECS Pavan College of Management Sciences, Kolar"," Kolar, Karnataka",NCTE Approved,#1261,B.Sc,--,Null,Null,/college/17034-aecs-pavan-college-of-management-sciences-kolar
1261,"Vaish Arya Kanya Institute of Technology and Management, Bahadurgarh"," Bahadurgarh, Haryana",AICTE Approved,#1262,B.Sc,--,1,3,/college/23520-vaish-arya-kanya-institute-of-technology-and-management-bahadurgarh
1262,"MGM Dr. GY Pathrikar College of Computer Science & Information Technology, Aurangabad"," Aurangabad, Maharashtra",Null,#1263,B.Sc,"₹ 40,000",42,4,/college/23990-mgm-dr-gy-pathrikar-college-of-computer-science-and-information-technology-aurangabad
1263,"Vinayaka Institution of Management and Technology - [VIMT], New Delhi"," New Delhi, Delhi NCR",Null,#1264,B.Sc,--,1,4,/college/24609-vinayaka-institution-of-management-and-technology-vimt-new-delhi
1264,"Jaya Group of Institutions, Chennai"," Chennai, Tamil Nadu",Null,#1265,B.Sc,--,Null,Null,/college/27901-jaya-group-of-institutions-chennai
1265,"Excel Group of Institutions, Namakkal"," Namakkal, Tamil Nadu","NCTE, AICTE, PCI, UGC, NBA Approved",#1266,B.Sc,"₹ 30,000",61,3,/college/28163-excel-group-of-institutions-namakkal
1266,"Institute of Fire Engineering and Safety Management- [NIFS], New Delhi"," New Delhi, Delhi NCR","AICTE, UGC Approved",#1267,B.Sc,"₹ 65,000",2,3,/college/45185-institute-of-fire-engineering-and-safety-management-nifs-new-delhi
1267,"Sri Lakshmi Hayagreeva Institute of Science, Commerce and Management, Mysore"," Mysore, Karnataka",Null,#1268,B.Sc,"₹ 25,148",Null,Null,/college/56373-sri-lakshmi-hayagreeva-institute-of-science-commerce-and-management-mysore
1268,"MVN University , School of Engineering & Technology -[SOET], Palwal"," Palwal, Haryana",AICTE Approved,#1269,B.Sc,"₹ 75,200",3,2,/college/56987-mvn-university-school-of-engineering-and-technology-soet-palwal
1269,"MATS University, School of Information Technology, Raipur"," Raipur, Chhattisgarh",Null,#1270,B.Sc,"₹ 32,000",Null,Null,/college/57016-mats-university-school-of-information-technology-raipur
1270,"Akal College of Economics, Commerce and Management, Sirmaur"," Sirmaur, Himachal Pradesh",AICTE Approved,#1271,B.Sc,"₹ 60,650",Null,Null,/college/57142-akal-college-of-economics-commerce-and-management-sirmaur
1271,"Faculty of  Engineering and Technology, Shoolini University, Solan"," Solan, Himachal Pradesh",Null,#1272,B.Sc,"₹ 1,00,000",4,4,/college/57200-faculty-of-engineering-and-technology-shoolini-university-solan
1272,"VidyaBharathi Group of Institutions, Kochi"," Kochi, Kerala",Null,#1273,B.Sc,"₹ 1,90,000",5,4,/college/57500-vidyabharathi-group-of-institutions-kochi
1273,"S.S.B.'S Institute of technology & Management, Nanded"," Nanded, Maharashtra",AICTE Approved,#1274,B.Sc,"₹ 16,320",4,4,/college/57638-ssbs-institute-of-technology-and-management-nanded
1274,"Vikash Institute of Technology, Bargarh"," Bargarh, Odisha",AICTE Approved,#1275,B.Sc  + M.Sc Mathematics and Computing,--,9,3,/college/57822-vikash-institute-of-technology-bargarh
1275,"Poddar college of technology and management-[PCTM], Bharatpur"," Bharatpur, Rajasthan",Null,#1276,B.Sc,"₹ 19,500",1,1,/college/58214-poddar-college-of-technology-and-managementpctm-bharatpur
1276,"Rotary Institute of Management and Technology - [RIMT], Chandausi"," Chandausi, Uttar Pradesh",Null,#1277,B.Sc,"₹ 5,000",1,1,/college/58233-rotary-institute-of-management-and-technology-rimt-chandausi
1277,"Chandigarh College of Technology - [CCT] Landran, Mohali"," Mohali, Punjab",AICTE Approved,#1278,B.Sc,"₹ 56,400",4,4,/college/58277-chandigarh-college-of-technology-cct-landran-mohali
1278,"Shri Ramnath Singh Group of Colleges - [RNS College], Gwalior"," Gwalior, Madhya Pradesh","AICTE, PCI Approved",#1279,B.Sc,"₹ 8,000",2,2,/college/58403-shri-ramnath-singh-group-of-colleges-rns-college-gwalior
1279,"Maharaja Agrasen College of Engineering & Technology - [MACET], Jyotiba Phule Nagar"," Jyotiba Phule Nagar, Uttar Pradesh",AICTE Approved,#1280,B.Sc,"₹ 10,000",Null,Null,/college/58549-maharaja-agrasen-college-of-engineering-and-technology-macet-jyotiba-phule-nagar
1280,"G.H Raisoni University - [GHRU], Saikheda"," Saikheda, Madhya Pradesh","PCI, BCI, UGC Approved",#1281,B.Sc,"₹ 37,500",651,3,/university/58559-gh-raisoni-university-ghru-saikheda
1281,"Gurukul Group of Colleges, Gwalior"," Gwalior, Madhya Pradesh","NCTE, AICTE Approved",#1282,B.Sc,--,Null,Null,/college/58611-gurukul-group-of-colleges-gwalior
1282,"Sant Ramdas Institute of Science and Management, Tikamgarh"," Tikamgarh, Madhya Pradesh",Null,#1283,B.Sc,--,Null,Null,/college/58671-sant-ramdas-institute-of-science-and-management-tikamgarh
1283,"School of Engineering & Technology, Monad University - [SET], Hapur"," Hapur, Uttar Pradesh",AICTE Approved,#1284,B.Sc,"₹ 30,000",1,3,/college/58987-school-of-engineering-and-technology-monad-university-set-hapur
1284,"Radha Krishan Institute of Technology & Management -[RKITM], Indore"," Indore, Madhya Pradesh","AICTE, UGC, MHRD Approved",#1285,B.Sc,"₹ 9,500",Null,Null,/college/59069-radha-krishan-institute-of-technology-and-management-rkitm-indore
1285,"School of Science Studies, CMR University - [SSS], Bangalore"," Bangalore, Karnataka",UGC Approved,#1286,B.Sc,"₹ 2,10,000",Null,Null,/college/59382-school-of-science-studies-cmr-university-sss-bangalore
1286,"NRI Vidyadayini Institute of Science, Management, and Technology - [NVISMT], Bhopal"," Bhopal, Madhya Pradesh","BCI, UGC Approved",#1287,B.Sc,"₹ 19,730",9,3,/college/59390-nri-vidyadayini-institute-of-science-management-and-technology-nvismt-bhopal
1287,"Mansarovar Global University - [MGU], Bhopal"," Bhopal, Madhya Pradesh",Null,#1288,B.Sc,"₹ 25,000",7,3,/university/59452-mansarovar-global-university-mgu-bhopal
1288,"Kumaun University - [KU], Nainital"," Nainital, Uttarakhand",Null,#1289,B.Sc,--,161,3,/university/59488-kumaun-university-ku-nainital
1289,"Sri Vinayaka Group of Institutions  -[SVGI], Kolar"," Kolar, Karnataka",AICTE Approved,#1290,B.Sc,--,1,2,/college/59532-sri-vinayaka-group-of-institutions-svgi-kolar
1290,"School of Education, Apeejay Stya University - [SoE], Gurgaon"," Gurgaon, Haryana",UGC Approved,#1291,B.Sc,"₹ 1,05,000",Null,Null,/college/59765-school-of-education-apeejay-stya-university-soe-gurgaon
1291,"Faculty of Applied Sciences and Biotechnology, Shoolini University, Solan"," Solan, Himachal Pradesh",Null,#1292,B.Sc,"₹ 1,50,000",4,4,/college/59899-faculty-of-applied-sciences-and-biotechnology-shoolini-university-solan
1292,"Shri Khushal Das University - [SKDU], Hanumangarh"," Hanumangarh, Rajasthan","NCTE, RCI, PCI, BCI, UGC Approved",#1293,B.Sc,"₹ 25,000",9,4,/university/59947-shri-khushal-das-university-skdu-hanumangarh
1293,"Vidhyadeep University, Surat"," Surat, Gujarat",Null,#1294,B.Sc,"₹ 32,000",13,4,/university/60256-vidhyadeep-university-surat
1294,"School of Computer Science, Chhatrapati Shivaji Maharaj University, Navi Mumbai"," Navi Mumbai, Maharashtra",UGC Approved,#1295,B.Sc,"₹ 40,000",Null,Null,/college/60276-school-of-computer-science-chhatrapati-shivaji-maharaj-university-navi-mumbai
1295,"Advance Institute of Science & Technology, Dehradun"," Dehradun, Uttarakhand",Null,#1296,B.Sc,"₹ 61,800",5,2,/college/60475-advance-institute-of-science-and-technology-dehradun
1296,"CIPET: Institute Of Plastics Technology -  [IPT], Bhubaneswar"," Bhubaneswar, Odisha",AICTE Approved,#1297,B.Sc,"₹ 63,990",4,4,/college/60513-cipet-institute-of-plastics-technology-ipt-bhubaneswar
1297,"Bhubanananda Odhisa School of Engineering - [BOSE], Cuttack"," Cuttack, Odisha",AICTE Approved,#1298,B.Sc,"₹ 5,800",12,3,/college/60521-bhubanananda-odhisa-school-of-engineering-bose-cuttack
1298,"CBM College of Arts and Science, Coimbatore"," Coimbatore, Tamil Nadu",AICTE Approved,#1299,B.Sc,--,2,2,/college/706-cbm-college-of-arts-and-science-coimbatore
1299,"Career College, Bhopal"," Bhopal, Madhya Pradesh",UGC Approved,#1300,B.Sc,"₹ 20,500",41,3,/college/740-career-college-bhopal
1300,"L.S. Raheja College of Arts and Commerce, Mumbai"," Mumbai, Maharashtra",Null,#1301,B.Sc,"₹ 41,425",44,3,/college/2518-ls-raheja-college-of-arts-and-commerce-mumbai
1301,"Rani Birla Girl's College, Kolkata"," Kolkata, West Bengal",Null,#1302,B.Sc,"₹ 9,150",8,3,/college/3741-rani-birla-girls-college-kolkata
1302,"St. Thomas College of Arts and Science, Chennai"," Chennai, Tamil Nadu",AICTE Approved,#1303,B.Sc,"₹ 5,305",34,4,/college/4961-st-thomas-college-of-arts-and-science-chennai
1303,"Brahaspati Mahila Post Graduate College, Kanpur"," Kanpur, Uttar Pradesh",UGC Approved,#1304,B.Sc,"₹ 5,000",1,3,/college/19909-brahaspati-mahila-post-graduate-college-kanpur
1304,"Basaveshwara College of Commerce, Arts & Science, Bangalore"," Bangalore, Karnataka",Null,#1305,B.Sc,"₹ 5,094",3,4,/college/532-basaveshwara-college-of-commerce-arts-and-science-bangalore
1305,"Sarsuna College, Kolkata"," Kolkata, West Bengal",Null,#1306,B.Sc,"₹ 23,465",26,3,/college/4126-sarsuna-college-kolkata
1306,"Chellammal Women College, Chennai"," Chennai, Tamil Nadu",Null,#1307,B.Sc,"₹ 32,900",13,3,/college/808-chellammal-women-college-chennai
1307,"Maharshi Dayanand College  of Arts Science and  Commerce, Mumbai"," Mumbai, Maharashtra",UGC Approved,#1308,B.Sc,"₹ 12,265",18,3,/college/2789-maharshi-dayanand-college-of-arts-science-and-commerce-mumbai
1308,"Royal PG College, Lucknow"," Lucknow, Uttar Pradesh",Null,#1309,B.Sc,--,1,3,/college/3795-royal-pg-college-lucknow
1309,"Sri Balaji PG Mahavidyalaya - [SBPGM], Jaipur"," Jaipur, Rajasthan",UGC Approved,#1310,B.Sc,"₹ 20,000",10,4,/college/16294-sri-balaji-pg-mahavidyalaya-sbpgm-jaipur
1310,"Swami Vivekanand Subharti University - [SVSU], Meerut"," Meerut, Uttar Pradesh","NCTE, DCI, AICTE, PCI, INC Approved",#1311,B.Sc,"₹ 37,500",181,3,/university/25976-swami-vivekanand-subharti-university-svsu-meerut
1311,"Bharath Post Graduate College, Chennai"," Chennai, Tamil Nadu",Null,#1312,B.Sc,--,1,4,/college/583-bharath-post-graduate-college-chennai
1312,"Hasanath College for Women - [HCW], Bangalore"," Bangalore, Karnataka",UGC Approved,#1313,B.Sc,--,2,4,/college/1877-hasanath-college-for-women-hcw-bangalore
1313,"Mohamed Sathak College of Arts and Science, Chennai"," Chennai, Tamil Nadu",AICTE Approved,#1314,B.Sc,"₹ 27,000",35,3,/college/3017-mohamed-sathak-college-of-arts-and-science-chennai
1314,"NG Acharya and DK Marathe College of Arts Science and Commerce, Mumbai"," Mumbai, Maharashtra",Null,#1315,B.Sc,"₹ 28,965",16,3,/college/3089-ng-acharya-and-dk-marathe-college-of-arts-science-and-commerce-mumbai
1315,"BR Ambedkar Bihar University - [BRABU], Muzaffarpur"," Muzaffarpur, Bihar",Null,#1316,B.Sc,"₹ 10,000",233,3,/university/25403-br-ambedkar-bihar-university-brabu-muzaffarpur
1316,"Rizvi College of Arts Science and Commerce, Mumbai"," Mumbai, Maharashtra",Null,#1317,B.Sc,"₹ 7,685",78,3,/college/3784-rizvi-college-of-arts-science-and-commerce-mumbai
1317,"PTVA's  Sathaye College, Mumbai"," Mumbai, Maharashtra",Null,#1318,B.Sc,"₹ 29,661",48,3,/college/3513-ptvas-sathaye-college-mumbai
1318,"Sri Mahesh Prasad Degree College, Lucknow"," Lucknow, Uttar Pradesh",NCTE Approved,#1319,B.Sc,"₹ 26,000",Null,Null,/college/23100-sri-mahesh-prasad-degree-college-lucknow
1319,"Impact Institute of Hotel Management - [IIHM], Agra"," Agra, Uttar Pradesh",Null,#1320,B.Sc,"₹ 70,000",Null,Null,/college/63679-impact-institute-of-hotel-management-iihm-agra
1320,"AVVM Sri Pushpam College [AVVM], Thanjavur"," Thanjavur, Tamil Nadu",BCI Approved,#1321,B.Sc,"₹ 8,000",10,4,/college/1-avvm-sri-pushpam-college-avvm-thanjavur
1321,"Alpha Arts and Science College, Chennai"," Chennai, Tamil Nadu",Null,#1322,B.Sc,"₹ 52,500",68,4,/college/2-alpha-arts-and-science-college-chennai
1322,"A.D.M. College for Women - [ADMC], Nagapattinam"," Nagapattinam, Tamil Nadu",Null,#1323,B.Sc,"₹ 1,024",Null,Null,/college/12-adm-college-for-women-admc-nagapattinam
1323,"A.D.N. Institute Of Paramedical Sciences & Hospitals, Nagpur"," Nagpur, Maharashtra",UGC Approved,#1324,B.Sc,"₹ 60,000",3,3,/college/13-adn-institute-of-paramedical-sciences-and-hospitals-nagpur
1324,"AGL Degree and PG College, Visakhapatnam"," Visakhapatnam, Andhra Pradesh",Null,#1325,B.Sc,--,6,3,/college/18-agl-degree-and-pg-college-visakhapatnam
1325,"AJK College of Arts and Science - [AJKCAS], Coimbatore"," Coimbatore, Tamil Nadu",UGC Approved,#1326,B.Sc,"₹ 25,000",24,3,/college/20-ajk-college-of-arts-and-science-ajkcas-coimbatore
1326,"AM Jain College, Chennai"," Chennai, Tamil Nadu",Null,#1327,B.Sc,"₹ 78,200",78,4,/college/26-am-jain-college-chennai
1327,"AP Bahuguna Government PG College, Rudraprayag"," Rudraprayag, Uttarakhand",NCTE Approved,#1328,B.Sc,--,4,3,/college/30-ap-bahuguna-government-pg-college-rudraprayag
1328,"Arulmigu Palaniandavar College of Arts and Culture Palani, Palani"," Palani, Tamil Nadu",Null,#1329,B.Sc,"₹ 14,050",3,4,/college/32-arulmigu-palaniandavar-college-of-arts-and-culture-palani-palani
1329,"A.P.C. Mahalaxmi College for Women, Thoothukudi"," Thoothukudi, Tamil Nadu",Null,#1330,B.Sc,--,3,3,/college/33-apc-mahalaxmi-college-for-women-thoothukudi
1330,"AS College, Khanna"," Khanna, Punjab",UGC Approved,#1331,B.Sc,"₹ 32,000",10,3,/college/40-as-college-khanna
1331,"AVC College (Autonomous), Mayiladuthurai"," Mayiladuthurai, Tamil Nadu",UGC Approved,#1332,B.Sc,"₹ 1,701",63,3,/college/48-avc-college-autonomous-mayiladuthurai
1332,"AVS College of Arts & Science, Salem"," Salem, Tamil Nadu","AICTE, UGC Approved",#1333,B.Sc,"₹ 26,000",66,3,/college/52-avs-college-of-arts-and-science-salem
1333,"Abasaheb Marathe Arts and New Commerce Science College, Ratnagiri"," Ratnagiri, Maharashtra",UGC Approved,#1334,B.Sc,"₹ 17,460",Null,Null,/college/58-abasaheb-marathe-arts-and-new-commerce-science-college-ratnagiri
1334,"Achariya Arts and  Science College - [AASC], Pondicherry"," Pondicherry, Puducherry",NCTE Approved,#1335,B.Sc,"₹ 7,400",14,3,/college/74-achariya-arts-and-science-college-aasc-pondicherry
1335,"Acharya Brojendra Nath Seal College, Cooch Behar"," Cooch Behar, West Bengal",UGC Approved,#1336,B.Sc,"₹ 1,125",42,3,/college/75-acharya-brojendra-nath-seal-college-cooch-behar
1336,"Achhruram Memorial College, Purulia"," Purulia, West Bengal",Null,#1337,B.Sc,"₹ 5,215",5,3,/college/85-achhruram-memorial-college-purulia
1337,"Adaikalamatha College - [AMC], Thanjavur"," Thanjavur, Tamil Nadu",AICTE Approved,#1338,B.Sc,"₹ 12,000",4,3,/college/88-adaikalamatha-college-amc-thanjavur
1338,"Adarsh Degree College - [ADC], Mahabubnagar"," Mahabubnagar, Telangana",Null,#1339,B.Sc,--,4,4,/college/94-adarsh-degree-college-adc-mahabubnagar
1339,"Adarsh Mahavidyalaya,Omerga, Umarga"," Umarga, Maharashtra",UGC Approved,#1340,B.Sc,--,1,3,/college/98-adarsh-mahavidyalayaomerga-umarga
1340,"Adarsh Mahila Mahavidyalaya, Bhiwani"," Bhiwani, Haryana",UGC Approved,#1341,B.Sc,--,5,4,/college/99-adarsh-mahila-mahavidyalaya-bhiwani
1341,"Adhiparasakthi College of Arts and Sciences -[APCASGBN], Vellore"," Vellore, Tamil Nadu",Null,#1342,B.Sc,"₹ 22,000",6,4,/college/102-adhiparasakthi-college-of-arts-and-sciences-apcasgbn-vellore
1342,"Aditanar College of Arts and Science, Thoothukudi"," Thoothukudi, Tamil Nadu",Null,#1343,B.Sc,"₹ 1,867",20,3,/college/105-aditanar-college-of-arts-and-science-thoothukudi
1343,"Adoni Arts and Science College, Adoni"," Adoni, Andhra Pradesh",Null,#1344,B.Sc,--,6,4,/college/112-adoni-arts-and-science-college-adoni
1344,"A.G & S.G Siddhartha Degree College of Arts and Science , Krishna"," Krishna, Andhra Pradesh",UGC Approved,#1345,B.Sc,"₹ 5,106",10,4,/college/113-ag-and-sg-siddhartha-degree-college-of-arts-and-science-krishna
1345,"Aggarwal College Wing III Coed & Self Finance, Rohtak"," Rohtak, Haryana",Null,#1346,B.Sc,--,4,2,/college/119-aggarwal-college-wing-iii-coed-and-self-finance-rohtak
1346,"AghoreKamini Prakashchandra Mahavidyalaya, Hooghly"," Hooghly, West Bengal",Null,#1347,B.Sc,"₹ 4,700",5,2,/college/120-aghorekamini-prakashchandra-mahavidyalaya-hooghly
1347,"Agra College, Agra"," Agra, Uttar Pradesh","NCTE, AICTE Approved",#1348,B.Sc,"₹ 4,512",91,3,/college/122-agra-college-agra
1348,"Aiman College of Arts and Science for Women - [AIMAN], Tiruchirappalli"," Tiruchirappalli, Tamil Nadu",UGC Approved,#1349,B.Sc,"₹ 57,300",3,4,/college/128-aiman-college-of-arts-and-science-for-women-aiman-tiruchirappalli
1349,"Ajara Mahavidyalaya, Kolhapur"," Kolhapur, Maharashtra",Null,#1350,B.Sc,--,2,4,/college/132-ajara-mahavidyalaya-kolhapur
1350,"Akarapu Sharath Chandrika Devi Memorial College for Women - [ASM], Warangal"," Warangal, Telangana",Null,#1351,B.Sc,"₹ 4,430",1,3,/college/137-akarapu-sharath-chandrika-devi-memorial-college-for-women-asm-warangal
1351,"Akhilabhagya Mahavidyalya, Gorakhpur"," Gorakhpur, Uttar Pradesh","NCTE, UGC Approved",#1352,B.Sc,"₹ 7,190",Null,Null,/college/143-akhilabhagya-mahavidyalya-gorakhpur
1352,"Akkineni Nageswara Rao College - [ANR], Krishna"," Krishna, Andhra Pradesh",Null,#1353,B.Sc,"₹ 2,940",3,4,/college/145-akkineni-nageswara-rao-college-anr-krishna
1353,"Al-Ameen College, Edathala, Ernakulam"," Ernakulam, Kerala",UGC Approved,#1354,B.Sc,"₹ 2,620",15,3,/college/153-alameen-college-edathala-ernakulam
1354,"Alankar P.G. Girls College, Jaipur"," Jaipur, Rajasthan",Null,#1355,B.Sc,"₹ 26,100",5,4,/college/160-alankar-pg-girls-college-jaipur
1355,"Alipurduar College, Alipurduar"," Alipurduar, West Bengal","AICTE, UGC Approved",#1356,B.Sc,"₹ 3,510",34,3,/college/165-alipurduar-college-alipurduar
1356,"Alphonsa College, Kottayam"," Kottayam, Kerala",Null,#1357,B.Sc,"₹ 3,098",10,3,/college/179-alphonsa-college-kottayam
1357,"Amal College of Advanced Studies, Nilambur, Nilambur"," Nilambur, Kerala",UGC Approved,#1358,B.Sc,"₹ 1,16,700",15,3,/college/181-amal-college-of-advanced-studies-nilambur-nilambur
1358,"Amar Singh Government Degree College, Srinagar"," Srinagar, Jammu and Kashmir",UGC Approved,#1359,B.Sc,--,29,3,/college/183-amar-singh-government-degree-college-srinagar
1359,"Amardeep Singh Shergill Memorial College - [ASSM], Nawanshahr"," Nawanshahr, Punjab",UGC Approved,#1360,B.Sc,"₹ 46,430",Null,Null,/college/184-amardeep-singh-shergill-memorial-college-assm-nawanshahr
1360,"Ambah Post Graduate College, Morena"," Morena, Madhya Pradesh",Null,#1361,B.Sc,--,Null,Null,/college/185-ambah-post-graduate-college-morena
1361,"Amrita School of Arts and Sciences - [ASAS], Kochi"," Kochi, Kerala",Null,#1362,B.Sc,"₹ 76,500",47,3,/college/203-amrita-school-of-arts-and-sciences-asas-kochi
1362,"Amrita School of Arts and Sciences - [ASAS] Amritapuri, Kollam"," Kollam, Kerala",AICTE Approved,#1363,B.Sc,"₹ 1,14,100",6,4,/college/204-amrita-school-of-arts-and-sciences-asas-amritapuri-kollam
1363,"Ananda Chandra College, Jalpaiguri"," Jalpaiguri, West Bengal",UGC Approved,#1364,B.Sc,"₹ 4,870",40,3,/college/209-ananda-chandra-college-jalpaiguri
1364,"Ananda College, Devakottai"," Devakottai, Tamil Nadu","AICTE, UGC Approved",#1365,B.Sc,--,5,3,/college/210-ananda-college-devakottai
1365,"Ananda Mohan College - [AMC], Kolkata"," Kolkata, West Bengal",Null,#1366,B.Sc,"₹ 5,120",21,3,/college/211-ananda-mohan-college-amc-kolkata
1366,"Anandaram Dhekial Phookan College - [ADP], Nagaon"," Nagaon, Assam",UGC Approved,#1367,B.Sc,"₹ 24,670",10,4,/college/214-anandaram-dhekial-phookan-college-adp-nagaon
1367,"Anbu Arts and Science College, Namakkal"," Namakkal, Tamil Nadu","AICTE, UGC Approved",#1368,B.Sc,--,2,4,/college/216-anbu-arts-and-science-college-namakkal
1368,"Awadhesh Singh Mahavidhyalya, Jagatsinghpur"," Jagatsinghpur, Odisha",UGC Approved,#1369,B.Sc,--,Null,Null,/college/220-awadhesh-singh-mahavidhyalya-jagatsinghpur
1369,"Andhra Muslim College of Arts and Science, Guntur"," Guntur, Andhra Pradesh",AICTE Approved,#1370,B.Sc,--,Null,Null,/college/228-andhra-muslim-college-of-arts-and-science-guntur
1370,"Anjuman-E-Islam’s Anjuman Arts, Science and Commerce College, Bijapur"," Bijapur, Karnataka",Null,#1371,B.Sc,"₹ 4,723",1,3,/college/237-anjumaneislams-anjuman-arts-science-and-commerce-college-bijapur
1371,"Anjuman College for Women - [ACW], Bhatkal"," Bhatkal, Karnataka",AICTE Approved,#1372,B.Sc,--,Null,Null,/college/241-anjuman-college-for-women-acw-bhatkal
1372,"Annabattuni Satyanarayana Degree College, Guntur"," Guntur, Andhra Pradesh",AICTE Approved,#1373,B.Sc,--,4,3,/college/244-annabattuni-satyanarayana-degree-college-guntur
1373,"Annada College, Hazaribagh"," Hazaribagh, Jharkhand",UGC Approved,#1374,B.Sc,"₹ 5,000",22,3,/college/245-annada-college-hazaribagh
1374,"Annai College of Arts and Science - [ACAS], Kumbakonam"," Kumbakonam, Tamil Nadu",AICTE Approved,#1375,B.Sc,--,8,4,/college/246-annai-college-of-arts-and-science-acas-kumbakonam
1375,"Annai Veilankanni College for Women, Chennai"," Chennai, Tamil Nadu",Null,#1376,B.Sc,--,20,4,/college/248-annai-veilankanni-college-for-women-chennai
1376,"Annai Violet Arts and Science College, Chennai"," Chennai, Tamil Nadu",AICTE Approved,#1377,B.Sc,--,3,3,/college/250-annai-violet-arts-and-science-college-chennai
1377,"PDEA's Annasaheb Magar College, Pune"," Pune, Maharashtra",Null,#1378,B.Sc,--,87,3,/college/255-pdeas-annasaheb-magar-college-pune
1378,"Anugrah Memorial College - [AM], Gaya"," Gaya, Bihar","BCI, UGC, AIU Approved",#1379,B.Sc,"₹ 2,525",4,3,/college/260-anugrah-memorial-college-am-gaya
1379,"Anugrah Narayan Singh College - [ANS] Barh, Patna"," Patna, Bihar",AICTE Approved,#1380,B.Sc,--,7,3,/college/262-anugrah-narayan-singh-college-ans-barh-patna
1380,"Apeejay Saraswati P.G. College for Girls, Bhiwani"," Bhiwani, Haryana",Null,#1381,B.Sc,--,Null,Null,/college/264-apeejay-saraswati-pg-college-for-girls-bhiwani
1381,"Apex International College, Amritsar"," Amritsar, Punjab",AICTE Approved,#1382,B.Sc,--,Null,Null,/college/265-apex-international-college-amritsar
1382,"Apollo Arts and Science College, Chennai"," Chennai, Tamil Nadu",AICTE Approved,#1383,B.Sc,--,37,3,/college/266-apollo-arts-and-science-college-chennai
1383,"Apoorva Degree College, Karimnagar"," Karimnagar, Telangana",AICTE Approved,#1384,B.Sc,--,12,4,/college/267-apoorva-degree-college-karimnagar
1384,"Arcot Sri Mahalakshmi Women's College of Education - [ASMWCOE], Arcot"," Arcot, Tamil Nadu",NCTE Approved,#1385,B.Sc,"₹ 2,585",Null,Null,/college/274-arcot-sri-mahalakshmi-womens-college-of-education-asmwcoe-arcot
1385,"Arignar Anna Government Arts College, Cheyyur"," Cheyyur, Tamil Nadu",Null,#1386,B.Sc,"₹ 7,500",1,3,/college/277-arignar-anna-government-arts-college-cheyyur
1386,"Arihant College of Arts, Commerce & Science - [ACACS], Pune"," Pune, Maharashtra",Null,#1387,B.Sc,--,11,4,/college/280-arihant-college-of-arts-commerce-and-science-acacs-pune
1387,"Arts and Commerce College, Hingoli"," Hingoli, Maharashtra",DCI Approved,#1388,B.Sc,--,Null,Null,/college/287-arts-and-commerce-college-hingoli
1388,"Arts Commerce and Science College, Surat"," Surat, Gujarat",Null,#1389,B.Sc,--,1,1,/college/294-arts-commerce-and-science-college-surat
1389,"Arts Commerce and Science College, Kolhapur"," Kolhapur, Maharashtra",DCI Approved,#1390,B.Sc,--,Null,Null,/college/295-arts-commerce-and-science-college-kolhapur
1390,"Arts Science and Commerce College, Sangli"," Sangli, Maharashtra",Null,#1391,B.Sc,--,3,4,/college/297-arts-science-and-commerce-college-sangli
1391,"Arul Anandar College - [AAC], Madurai"," Madurai, Tamil Nadu",Null,#1392,B.Sc,--,19,3,/college/299-arul-anandar-college-aac-madurai
1392,"Arumugam Pillai Seethai Ammal College - [APSA], Tiruppattur"," Tiruppattur, Tamil Nadu",UGC Approved,#1393,B.Sc,--,3,3,/college/302-arumugam-pillai-seethai-ammal-college-apsa-tiruppattur
